symbol,time,open,high,low,close,volume,ROC,Histogram,MACD,Signal,ADX,C-O,EMA_50,ATR_14
PRSO,2026-03-04 09:00:00,0.94,1.0,0.94,0.9702,6434.0,9.03573836817262,0.007399149338393068,-0.0017524682187846086,-0.009151617557177676,21.257330650434373,0.030200000000000005,0.9030863200077107,0.02381468156870072
PRSO,2026-03-04 09:05:00,0.97,1.08,0.97,1.07,7270.0,27.3354754254433,0.017034376528881564,0.01214135310392428,-0.004893023424957285,23.416404584605996,0.10000000000000009,0.9096319545172122,0.02997077574236496
PRSO,2026-03-04 09:10:00,1.05,1.06,1.0,1.04,12739.0,19.95386389850058,0.02031065894693262,0.020495300258708493,0.0001846413117758709,25.421258952051073,-0.010000000000000009,0.9147444268890863,0.03283000604648175
PRSO,2026-03-04 09:15:00,1.06,1.07,1.01,1.02,14845.0,16.638078902229836,0.020021414374710386,0.025211409280163855,0.005189994905453468,27.40453993856384,-0.040000000000000036,0.9188720964228476,0.03477071990030449
PRSO,2026-03-04 09:20:00,1.01,1.02,0.99,0.99,18614.0,10.257266956231192,0.01682871974769888,0.02622589459007707,0.00939717484237819,28.477118906232583,-0.020000000000000018,0.9216614259748928,0.034429954193139885
PRSO,2026-03-04 09:25:00,0.997,1.0,0.9813,0.9922,6306.0,13.472095150960662,0.014000137922069856,0.026897347244965508,0.012897209322895653,29.14881716643933,-0.0048000000000000265,0.9244276445641126,0.03330638603648704
PRSO,2026-03-04 09:30:00,0.983,0.9999,0.9822,0.9999,1673.0,14.222069910897872,0.01186714188435551,0.02773113667834004,0.01586399479398453,29.772536979488454,0.016900000000000026,0.9273873447772847,0.03219164417673797
PRSO,2026-03-04 09:35:00,0.9997,1.0,0.9898,0.9898,2551.0,13.197621225983536,0.009118938686890982,0.027262668152598257,0.018143729465707276,30.353589988861753,-0.00990000000000002,0.9298348998840579,0.030620812449828113
PRSO,2026-03-04 09:40:00,0.9898,0.9898,0.9898,0.9898,637.0,11.213483146067404,0.006752975411759211,0.026584948730406288,0.019831973318647077,30.893139211851246,0.0,0.9321864724376242,0.028433611560554677
PRSO,2026-03-04 09:45:00,0.9859,0.9859,0.9859,0.9859,253.0,10.775280898876405,0.004486340133340309,0.025439898485322465,0.020953558351982156,31.20847415389036,0.0,0.9342928852832075,0.02668121073480077
